"ProductID,ProductName,Category,Price,StockQuantity,Brand,Description,ProductImageURL,DateAdded"
"P001,Wireless Mouse,Electronics,29.99,150,Logitech,A reliable wireless mouse,http://example.com/mouse.jpg,2023-01-10"
"P002,Cotton T-Shirt,Apparel,19.99,300,Hanes,Comfortable cotton t-shirt,http://example.com/tshirt.jpg,2023-02-05"
"P003,Smartphone,Electronics,699.99,200,Samsung,Latest model smartphone,http://example.com/smartphone.jpg,2023-03-01"
"P004,Running Shoes,Footwear,89.99,120,Nike,Comfortable running shoes,http://example.com/running_shoes.jpg,2023-04-12"
"P005,Leather Wallet,Accessories,49.99,80,Tommy Hilfiger,Premium leather wallet,http://example.com/wallet.jpg,2023-02-25"
"P006,Noise Cancelling Headphones,Electronics,199.99,75,Sony,Top-notch noise cancelling headphones,http://example.com/headphones.jpg,2023-01-18"
"P007,4K TV,Electronics,999.99,50,Lg,High definition 4K television,http://example.com/4ktv.jpg,2023-03-15"
"P008,Blender,Home Appliances,59.99,110,Nutribullet,High speed blender for smoothies,http://example.com/blender.jpg,2023-02-28"
"P009,Fitness Tracker,Electronics,129.99,220,Fitbit,Track your fitness goals,http://example.com/fitnesstracker.jpg,2023-03-20"
"P010,Espresso Machine,Home Appliances,249.99,60,DeLonghi,Make your favorite espresso at home,http://example.com/espresso_machine.jpg,2023-01-30"
"P011,Office Chair,Furniture,149.99,40,Herman Miller,Ergonomic office chair,http://example.com/office_chair.jpg,2023-02-15"
"P012,Stainless Steel Watch,Accessories,199.99,90,Seiko,Stylish stainless steel watch,http://example.com/watch.jpg,2023-04-05"
"P013,Vacuum Cleaner,Home Appliances,89.99,85,Hoover,Powerful vacuum cleaner,http://example.com/vacuum_cleaner.jpg,2023-03-25"
"P014,Smart Thermostat,Electronics,249.99,100,Nest,Control your home's temperature remotely,http://example.com/smart_thermostat.jpg,2023-02-01"
"P015,Electric Kettle,Home Appliances,39.99,130,Breville,Fast boiling electric kettle,http://example.com/electric_kettle.jpg,2023-01-12"
"P016,Graphic Tablet,Electronics,349.99,55,Wacom,High precision graphic tablet,http://example.com/graphic_tablet.jpg,2023-03-10"
"P017,Wireless Keyboard,Electronics,49.99,200,Logitech,Compact and comfortable wireless keyboard,http://example.com/wireless_keyboard.jpg,2023-02-20"
"P018,Gaming Console,Electronics,499.99,90,Sony,Latest generation gaming console,http://example.com/gaming_console.jpg,2023-03-30"
"P019,Bluetooth Speaker,Electronics,89.99,170,JBL,Portable Bluetooth speaker,http://example.com/bluetooth_speaker.jpg,2023-02-22"
"P020,Yoga Mat,Accessories,29.99,150,Lululemon,Non-slip yoga mat,http://example.com/yoga_mat.jpg,2023-04-08"
